Re, Im, Closest
-15.000000, -5.000000, 0
-14.970000, -5.000000, 0
-14.940000, -5.000000, 0
-14.910000, -5.000000, 0
-14.880000, -5.000000, 0
-14.850000, -5.000000, 0
-14.820000, -5.000000, 0
-14.790000, -5.000000, 0
-14.760000, -5.000000, 0
-14.730000, -5.000000, 0
-14.700000, -5.000000, 0
-14.670000, -5.000000, 0
-14.640000, -5.000000, 0
-14.610000, -5.000000, 0
-14.580000, -5.000000, 0
-14.550000, -5.000000, 0
-14.520000, -5.000000, 0
-14.490000, -5.000000, 0
-14.460000, -5.000000, 0
-14.430000, -5.000000, 0
-14.400000, -5.000000, 0
-14.370000, -5.000000, 0
-14.340000, -5.000000, 0
-14.310000, -5.000000, 0
-14.280000, -5.000000, 0
-14.250000, -5.000000, 0
-14.220000, -5.000000, 1
-14.190000, -5.000000, 1
-14.160000, -5.000000, 1
-14.130000, -5.000000, 1
-14.100000, -5.000000, 1
-14.070000, -5.000000, 1
-14.040000, -5.000000, 1
-14.010000, -5.000000, 1
-13.980000, -5.000000, 1
-13.950000, -5.000000, 1
-13.920000, -5.000000, 1
-13.890000, -5.000000, 1
-13.860000, -5.000000, 1
-13.830000, -5.000000, 1
-13.800000, -5.000000, 1
-13.770000, -5.000000, 1
-13.740000, -5.000000, 1
-13.710000, -5.000000, 1
-13.680000, -5.000000, 1
-13.650000, -5.000000, 1
-13.620000, -5.000000, 1
-13.590000, -5.000000, 1
-13.560000, -5.000000, 1
-13.530000, -5.000000, 1
-13.500000, -5.000000, 1
-13.470000, -5.000000, 1
-13.440000, -5.000000, 1
-13.410000, -5.000000, 1
-13.380000, -5.000000, 1
-13.350000, -5.000000, 1
-13.320000, -5.000000, 1
-13.290000, -5.000000, 1
-13.260000, -5.000000, 1
-13.230000, -5.000000, 1
-13.200000, -5.000000, 1
-13.170000, -5.000000, 1
-13.140000, -5.000000, 1
-13.110000, -5.000000, 1
-13.080000, -5.000000, 1
-13.050000, -5.000000, 1
-13.020000, -5.000000, 1
-12.990000, -5.000000, 1
-12.960000, -5.000000, 1
-12.930000, -5.000000, 1
-12.900000, -5.000000, 1
-12.870000, -5.000000, 1
-12.840000, -5.000000, 1
-12.810000, -5.000000, 1
-12.780000, -5.000000, 1
-12.750000, -5.000000, 1
-12.720000, -5.000000, 1
-12.690000, -5.000000, 1
-12.660000, -5.000000, 1
-12.630000, -5.000000, 1
-12.600000, -5.000000, 1
-12.570000, -5.000000, 1
-12.540000, -5.000000, 1
-12.510000, -5.000000, 1
-12.480000, -5.000000, 1
-12.450000, -5.000000, 1
-12.420000, -5.000000, 1
-12.390000, -5.000000, 1
-12.360000, -5.000000, 1
-12.330000, -5.000000, 1
-12.300000, -5.000000, 0
-12.270000, -5.000000, 0
-12.240000, -5.000000, 0
-12.210000, -5.000000, 0
-12.180000, -5.000000, 0
-12.150000, -5.000000, 0
-12.120000, -5.000000, 0
-12.090000, -5.000000, 0
-12.060000, -5.000000, 0
-12.030000, -5.000000, 0
-12.000000, -5.000000, 0
-11.970000, -5.000000, 0
-11.940000, -5.000000, 0
-11.910000, -5.000000, 0
-11.880000, -5.000000, 0
-11.850000, -5.000000, 0
-11.820000, -5.000000, 0
-11.790000, -5.000000, 0
-11.760000, -5.000000, 0
-11.730000, -5.000000, 0
-11.700000, -5.000000, 0
-11.670000, -5.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 0
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
0.000000, 0.000000, 1
