Re, Im
0.093115, 0.000000
-0.622660, -0.731033
-0.812102, -0.640959
-0.871809, -0.467646
-0.982428, -0.207308
-0.873907, -0.393111
-0.183584, -0.930628
-0.729826, -0.822097
-0.382841, -0.874104
-0.553858, -0.915686
-0.310115, -1.090432
0.105328, -1.071696
0.359998, -0.945456
-0.022255, -1.012168
0.435861, -0.568801
0.216186, -1.009134
0.474304, -0.886589
-0.873907, 0.393111
0.616226, -0.782947
0.726770, -0.677209
0.816533, -0.323712
0.849597, -0.513696
1.008183, -0.414607
-0.999203, -0.059435
1.093022, 0.076834
0.816533, 0.323712
-0.871809, 0.467646
0.963578, -0.178759
0.435861, 0.568801
-1.121474, 0.000000
0.359998, 0.945456
-0.022255, 1.012168
-0.999203, 0.059435
0.849597, 0.513696
1.093022, -0.076834
-0.812102, 0.640959
0.474304, 0.886589
0.963578, 0.178759
1.008183, 0.414607
-0.982428, 0.207308
0.726770, 0.677209
-0.382841, 0.874104
-0.622660, 0.731033
0.616226, 0.782947
-0.183584, 0.930628
-0.310115, 1.090432
0.105328, 1.071696
-0.553858, 0.915686
0.216186, 1.009134
-0.729826, 0.822097
